experiment,model,model_clean,category,subject,accuracy,f1_macro
exp1_deep_raw_attention_cnn_loso_isolated_v2,attention_cnn,Attention CNN,Raw CNN/LSTM,DB2_s38,0.3221476510067114,0.2838967739345821
exp1_deep_raw_attention_cnn_loso_isolated_v2,attention_cnn,Attention CNN,Raw CNN/LSTM,DB2_s5,0.3019654556283502,0.282522086582821
exp1_deep_raw_attention_cnn_loso_isolated_v2,attention_cnn,Attention CNN,Raw CNN/LSTM,DB2_s30,0.4851425106124924,0.4740053306054411
exp1_deep_raw_attention_cnn_loso_isolated_v2,attention_cnn,Attention CNN,Raw CNN/LSTM,DB2_s11,0.3744047619047619,0.3372683926423906
exp1_deep_raw_attention_cnn_loso_isolated_v2,attention_cnn,Attention CNN,Raw CNN/LSTM,DB2_s36,0.3594132029339853,0.34694573318341976
exp1_deep_raw_attention_cnn_loso_isolated_v2,attention_cnn,Attention CNN,Raw CNN/LSTM,DB2_s1,0.39179548156956007,0.3410138784766003
exp1_deep_raw_attention_cnn_loso_isolated_v2,attention_cnn,Attention CNN,Raw CNN/LSTM,DB2_s26,0.3070769230769231,0.2694894027786167
exp1_deep_raw_attention_cnn_loso_isolated_v2,attention_cnn,Attention CNN,Raw CNN/LSTM,DB2_s3,0.2537313432835821,0.21791356367039558
exp1_deep_raw_attention_cnn_loso_isolated_v2,attention_cnn,Attention CNN,Raw CNN/LSTM,DB2_s29,0.2192448233861145,0.1790875028948176
exp1_deep_raw_attention_cnn_loso_isolated_v2,attention_cnn,Attention CNN,Raw CNN/LSTM,DB2_s14,0.39928698752228164,0.38167842103870325
exp1_deep_raw_attention_cnn_loso_isolated_v2,attention_cnn,Attention CNN,Raw CNN/LSTM,DB2_s37,0.15365703749231716,0.0899126167910197
exp1_deep_raw_attention_cnn_loso_isolated_v2,attention_cnn,Attention CNN,Raw CNN/LSTM,DB2_s4,0.4088200238379023,0.37123913775121786
exp1_deep_raw_attention_cnn_loso_isolated_v2,attention_cnn,Attention CNN,Raw CNN/LSTM,DB2_s13,0.36168947055324213,0.3268195763887033
exp1_deep_raw_attention_cnn_loso_isolated_v2,attention_cnn,Attention CNN,Raw CNN/LSTM,DB2_s15,0.2494047619047619,0.22975091005617893
exp1_deep_raw_attention_cnn_loso_isolated_v2,attention_cnn,Attention CNN,Raw CNN/LSTM,DB2_s2,0.35518474374255066,0.3026332296662545
exp1_deep_raw_attention_cnn_loso_isolated_v2,attention_cnn,Attention CNN,Raw CNN/LSTM,DB2_s27,0.3684531059683313,0.367864166985988
exp1_deep_raw_attention_cnn_loso_isolated_v2,attention_cnn,Attention CNN,Raw CNN/LSTM,DB2_s28,0.47863247863247865,0.43265389592646847
exp1_deep_raw_attention_cnn_loso_isolated_v2,attention_cnn,Attention CNN,Raw CNN/LSTM,DB2_s39,0.3548780487804878,0.3503575131105837
exp1_deep_raw_attention_cnn_loso_isolated_v2,attention_cnn,Attention CNN,Raw CNN/LSTM,DB2_s40,0.355786895284752,0.334311679997335
exp1_deep_raw_attention_cnn_loso_isolated_v2,attention_cnn,Attention CNN,Raw CNN/LSTM,DB2_s12,0.32996432818073723,0.3087931210042835
exp1_deep_raw_bilstm_attention_loso_isolated_v2,bilstm_attention,BiLSTM-Attn,Raw CNN/LSTM,DB2_s38,0.3825503355704698,0.371524327884794
exp1_deep_raw_bilstm_attention_loso_isolated_v2,bilstm_attention,BiLSTM-Attn,Raw CNN/LSTM,DB2_s5,0.3067301965455628,0.29813626217820755
