class,support,precision,recall,f1
Gesture 8,3325,0.2543310875842156,0.3178947368421053,0.2825825424408501
Gesture 9,3324,0.3585579733679766,0.33212996389891697,0.3448383570201468
Gesture 10,3293,0.3360384730988879,0.33950804737321594,0.3377643504531722
Gesture 11,3291,0.2980798537031393,0.29717411121239745,0.29762629336579427
Gesture 12,3327,0.2744964151587573,0.24165915238954014,0.2570332480818414
Gesture 13,3327,0.34969648983900764,0.39825668770664263,0.37240022484541874
Gesture 14,3320,0.30857917938284163,0.2740963855421687,0.29031743499760726
Gesture 15,3326,0.4001035196687371,0.46482260974143114,0.4300417246175243
Gesture 16,3293,0.45538689374305813,0.3735195870027331,0.41041041041041043
Gesture 17,3343,0.4398836457659987,0.4071193538737661,0.4228677955569365
