model_short,model_full,features,mean_acc,std_acc,mean_f1,std_f1,n_subjects
Simple Cnn,Simple Cnn,Raw EMG,0.35934300053922763,0.08545635684611351,0.333214453972129,0.09063837196309259,20
Bigru,Bigru,Raw EMG,0.3566409349071022,0.07783817026269983,0.33493517458712746,0.08047000067158407,20
Multiscale Cnn,Multiscale Cnn,Raw EMG,0.35534513568939186,0.08116685651868716,0.3343215507751386,0.08817051599014916,20
Cnn Gru Attention,Cnn Gru Attention,Raw EMG,0.34794191467939756,0.08843046634864574,0.3310864094452572,0.09050673341424476,20
Attention Cnn,Attention Cnn,Raw EMG,0.34153400176511617,0.08033455124800677,0.31140784667429106,0.08685774473341255,20
Bilstm Attention,Bilstm Attention,Raw EMG,0.34016905686871546,0.07760760343078954,0.31947265995723434,0.08079918943824739,20
Hybrid Powerful Deep,Hybrid Powerful Deep,TD features,0.33920512905954253,0.07201149410311636,0.31695959585227934,0.07028305936042341,20
Mlp Powerful,Mlp Powerful,TD features,0.33821567448822876,0.07417996856173824,0.315684269236664,0.0727455787446806,20
Tcn,Tcn,Raw EMG,0.2674590025230822,0.07399348073802198,0.23089803292479072,0.06933239129368715,20
Tcn Attn,Tcn Attn,Raw EMG,0.2550235636597743,0.13495702136273732,0.20756284859590593,0.15968675033258978,20
Bilstm,Bilstm,Raw EMG,0.21419124645256699,0.10405062614238171,0.15968288449795617,0.12598656451616977,20
